pet_mode0,pet_mode1,pet_mode2,pet_mode3,pet_mode4,BIS
1.0033371130716187,1.008978323753827,1.02007575979555,1.0238031739268847,1.0294033307513049,95.9
1.0033555437650479,1.0089369245126072,1.0200702672581858,1.0238138937543986,1.0294033307513049,97.1
1.0033125352067194,1.0089369245126072,1.0200592815887328,1.0237924533505476,1.0293981614492924,94.8
1.0032695140193781,1.0089605826359678,1.0200647745225857,1.0237978137323267,1.0293981614492924,93.2
1.003244924810253,1.0089842369885333,1.0200702672581858,1.0238031739268847,1.0293981614492924,92.0
1.0032695140193781,1.008972410283512,1.0200702672581858,1.0238085339342369,1.0294188376257676,91.2
1.0032818070763696,1.0089842369885333,1.0200592815887328,1.0237978137323267,1.0294291746825655,90.8
1.0032510724994903,1.009001975279218,1.0200482951262018,1.0237870927815318,1.0294291746825655,89.2
1.0031526784959948,1.0090197114502129,1.0200373078704585,1.0237763710817294,1.0294033307513049,89.6
1.0029988054003767,1.0090078875717081,1.0200373078704585,1.0237763710817294,1.0294033307513049,90.1
1.0030234359644972,1.0089605826359678,1.0200318139450906,1.0238031739268847,1.0294033307513049,91.9
1.003054218344017,1.0089250940364396,1.0200043413426143,1.0238085339342369,1.0293981614492924,91.9
1.0030849942535778,1.0089310093924158,1.0200043413426143,1.0237978137323267,1.0293981614492924,91.9
1.0031034566950547,1.0089250940364396,1.020026319821369,1.0238085339342369,1.0293878223294,92.6
1.0031711324071753,1.008901430254251,1.0200208254992775,1.0238085339342369,1.0293723123596905,90.6
1.0031834337230043,1.0089073465535847,1.02004280159749,1.0238138937543986,1.0293619715198137,90.5
1.0032695140193781,1.008919178444657,1.0200647745225857,1.0238031739268847,1.0293774825215942,90.7
1.0032695140193781,1.008913262617046,1.02007575979555,1.0237924533505476,1.0293826525114929,90.7
1.0033002447279609,1.0088895969478782,1.0200702672581858,1.0238031739268847,1.0293723123596905,89.7
1.0033063900962202,1.0088718452187266,1.0200702672581858,1.0237870927815318,1.0293619715198137,89.7
1.0033186800594835,1.0088600095526405,1.0200867442756376,1.0237978137323267,1.0293723123596905,93.4
1.0033125352067194,1.008848172942361,1.02007575979555,1.0237924533505476,1.0293826525114929,93.3
1.0032695140193781,1.0088600095526405,1.0200702672581858,1.0238085339342369,1.0293826525114929,92.4
1.0032756606768172,1.008842254283094,1.0200592815887328,1.0238246128332116,1.0293878223294,91.6
1.0032756606768172,1.0088244968885176,1.0200592815887328,1.0238031739268847,1.0293826525114929,91.1
1.0032572199307401,1.008848172942361,1.0200647745225857,1.0237978137323267,1.0293826525114929,92.0
