Perment_mode0,Perment_mode1,Perment_mode2,Perment_mode3,Perment_mode4,BIS
1.539596674424551,1.833838461887182,2.2537046875587015,2.568157583421345,2.57091068352075,91.7
1.5304461021839237,1.833059223767871,2.2531410240708327,2.568534479748315,2.5709871850715382,91.7
1.5131659829809339,1.8267032911873429,2.2526368313719525,2.5686652880825287,2.5708482583063628,91.9
1.5017952558734489,1.8211202096300765,2.2507425223609703,2.568963518856643,2.5708701384666606,93.1
1.4851310568422478,1.815703543978476,2.2490625697617896,2.5690449920182497,2.570869157999531,94.7
1.4729432614345601,1.8124557072165626,2.247949735485769,2.568935749140734,2.5709609582904847,94.5
1.4620836745874803,1.80683474053271,2.246787183916992,2.5691177476624283,2.5710694031113888,94.5
1.4561074730210066,1.801166258945809,2.2458742634463023,2.569168734094153,2.5713733944084276,93.6
1.4494754075867093,1.7963412586463128,2.24554461074509,2.569001891351185,2.571267222816223,92.1
1.4375815946218427,1.7938717255901375,2.2443217392864363,2.569348750670742,2.5711530911035867,91.2
1.4177415970189955,1.7903896915058606,2.2435209728860976,2.569481138085308,2.5710821978935865,91.6
1.409581928311039,1.7894808751368592,2.243407876876981,2.5694373876048937,2.5710476160223927,91.5
1.405667270288696,1.7847650344077728,2.2425722742033005,2.5694706497090354,2.570982595457059,93.9
1.3880531782338352,1.78193209057721,2.2400558762237557,2.569394458682795,2.570749742128251,93.9
1.3734113138180315,1.7753497977065766,2.238890198323601,2.5694598264001995,2.5707665486085505,94.3
1.371080404148835,1.7694312761281283,2.2383736895774047,2.5696680981462245,2.5707547136561497,96.3
1.3701722746166936,1.7698879824356082,2.237311751149587,2.569824254155082,2.5707906577488173,96.3
1.369053203499281,1.7687805792446687,2.2376826878990363,2.5698419331087536,2.570720429395112,96.3
1.3638055782879748,1.764858460159184,2.237413598604249,2.5700028787208415,2.570732621285975,96.3
1.365517902865933,1.7663249355845112,2.23676929039039,2.5699883714023213,2.5706966639962174,96.3
1.3633995157910763,1.7672053036280584,2.2359334378348326,2.570043575696095,2.5707527055157717,96.3
1.3616738330373521,1.7644626405567712,2.2353177796125996,2.5699536326962407,2.5703641293896466,96.3
1.3576461002148743,1.7640597641338784,2.235939377411353,2.570060722850594,2.570565212592334,96.3
1.3519642074946376,1.7609848941466941,2.235905948271989,2.570008958373355,2.5704053904433586,96.3
1.346002094424958,1.762415032730792,2.2353172538588146,2.5699164716874785,2.5702292087585406,96.3
1.3484932473117426,1.765883724695109,2.2362425301971514,2.5698644703246414,2.5701621352339794,96.3
1.3472021445256022,1.767522188161605,2.236346427243144,2.569976379222099,2.570005906710558,96.3
1.345398171126814,1.7669350942498574,2.236383653721486,2.569682906272927,2.569762624955957,96.3
